Respondent_Serial,Main Brand,Service provider,Month,City,Region,Detailed_Nationality,Nationality,Gender,Performance,Preference,TRIM_Score
7993,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,5,4,4.5
6742,Mobily - Postpaid,Mobily,Mar'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Female,3,2,2.5
3503,Mobily - Prepaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,1,1,1
13224,Friendi - Internet on Mobile,Friendi,Mar'18,AR RIYADH,Central,Indian,Expat Asians,Male,3,4,3.5
5851,Mobily - Prepaid,Mobily,Mar'18,MAKKAH AL MUKARRAMAH,Western,Saudis,Nationals,Male,3,3,3
18619,STC - Prepaid,STC,Mar'18,MAKKAH AL MUKARRAMAH,Western,Egyptian,Expat Arabs,Male,3,3,3
7261,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Pakistani,Expat Asians,Male,4,5,4.5
2042,Mobily - Prepaid,Mobily,Mar'18,NAJRAN,Southern,Saudis,Nationals,Male,3,3,3
3833,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,3,3,3
2172,Mobile - Data SIM,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,2,2,2
10773,Friendi - Internet on Mobile,Friendi,Mar'18,AR RIYADH,Central,Indian,Expat Asians,Male,4,3,3.5
3819,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Lebanese,Expat Arabs,Male,3,3,3
5985,Mobily - Prepaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,1,1,1
5762,Mobily - Prepaid,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,5,4,4.5
1644,Mobily - Prepaid,Mobily,Mar'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,4,4,4
5299,Mobily - Prepaid,Mobily,Mar'18,AD DAMMAM,Eastern,Saudis,Nationals,Male,3,2,2.5
9189,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,3,2,2.5
18730,STC - Prepaid,STC,Mar'18,AR RIYADH,Central,Sudani,Expat Arabs,Male,4,3,3.5
3812,Mobily - Postpaid,Mobily,Mar'18,AT TAIF,Western,Saudis,Nationals,Female,5,5,5
5176,Mobily - Prepaid,Mobily,Mar'18,YANBU AN NAKHL,Northern,Saudis,Nationals,Female,4,4,4
9504,Mobily - Postpaid,Mobily,Mar'18,JEDDAH,Western,Egyptian,Expat Arabs,Male,3,3,3
22281,STC - Internet on Mobile,STC,Mar'18,ABHA,Southern,Indian,Expat Asians,Male,5,5,5
22290,STC - Prepaid,STC,Mar'18,TABUK,Northern,Saudis,Nationals,Male,4,5,4.5
3941,Mobily - Postpaid,Mobily,Mar'18,Other (specify):,Others,Indian,Expat Asians,Male,4,5,4.5
1745,Mobily - Prepaid,Mobily,Mar'18,AD DAMMAM,Eastern,Egyptian,Expat Arabs,Male,3,3,3
5031,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,4,4,4
549,Mobily - Postpaid,Mobily,Mar'18,AD DAMMAM,Eastern,Indian,Expat Asians,Male,4,4,4
8522,Mobily - Postpaid,Mobily,Mar'18,HAIL,Northern,Saudis,Nationals,Female,4,4,4
980,Mobily - Postpaid,Mobily,Mar'18,AD DAMMAM,Eastern,Saudis,Nationals,Male,4,4,4
18787,STC - Postpaid,STC,Mar'18,AD DAMMAM,Eastern,Saudis,Nationals,Male,3,3,3
17030,STC - Prepaid,STC,Mar'18,AL KHAFJI,Eastern,Saudis,Nationals,Male,5,3,4
4033,Mobily - Prepaid,Mobily,Mar'18,AD DAMMAM,Eastern,Egyptian,Expat Arabs,Male,5,5,5
489,Mobily - Prepaid,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Female,5,4,4.5
1500,Mobily - Internet on Mobile,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,2,2,2
5195,Mobily - Internet on Mobile,Mobily,Mar'18,ABHA,Southern,Saudis,Nationals,Male,4,3,3.5
2236,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Female,5,3,4
1537,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Egyptian,Expat Arabs,Male,5,5,5
6369,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,4,4,4
5874,Mobily - Prepaid,Mobily,Mar'18,JEDDAH,Western,Yemeni,Expat Arabs,Male,3,3,3
792,Mobily - Prepaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,3,4,3.5
5131,Mobily - Prepaid,Mobily,Mar'18,JEDDAH,Western,Egyptian,Expat Arabs,Male,4,5,4.5
8132,Mobile - Data SIM,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,2,2,2
2369,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Female,1,1,1
4856,Mobily - Prepaid,Mobily,Mar'18,NAJRAN,Southern,Egyptian,Expat Arabs,Male,5,5,5
2007,Mobily - Prepaid,Mobily,Mar'18,JEDDAH,Western,Yemeni,Expat Arabs,Male,4,3,3.5
4818,Mobily - Prepaid,Mobily,Mar'18,MAKKAH AL MUKARRAMAH,Western,Saudis,Nationals,Male,4,4,4
7781,Mobily - Postpaid,Mobily,Mar'18,JEDDAH,Western,Yemeni,Expat Arabs,Male,4,3,3.5
7678,Mobily - Postpaid,Mobily,Mar'18,YANBU AN NAKHL,Northern,Saudis,Nationals,Female,4,4,4
4104,Mobily - Prepaid,Mobily,Mar'18,JIZAN,Southern,Saudis,Nationals,Male,2,2,2
1364,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Egyptian,Expat Arabs,Male,5,4,4.5
7549,Mobily - Postpaid,Mobily,Mar'18,AL JUBAIL,Eastern,Saudis,Nationals,Male,2,2,2
4979,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Egyptian,Expat Arabs,Male,2,2,2
17558,STC - Internet on Mobile,STC,Mar'18,BURAYDAH,Central,Egyptian,Expat Arabs,Female,3,3,3
6699,Mobily - Postpaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Female,2,1,1.5
6506,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Sudani,Expat Arabs,Female,5,5,5
461,Mobily - Prepaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,2,2,2
5098,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Egyptian,Expat Arabs,Male,1,1,1
4699,Mobile - Data SIM,Mobily,Mar'18,BURAYDAH,Central,Saudis,Nationals,Male,5,4,4.5
7179,Mobily - Postpaid,Mobily,Mar'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,2,3,2.5
19752,STC - Prepaid,STC,Mar'18,Other (specify):,Others,Saudis,Nationals,Female,5,4,4.5
667,Mobily - Prepaid,Mobily,Mar'18,AD DAMMAM,Eastern,Saudis,Nationals,Male,4,2,3
675,Mobily - Prepaid,Mobily,Mar'18,MAKKAH AL MUKARRAMAH,Western,Saudis,Nationals,Male,5,5,5
9308,Mobily - Internet on Mobile,Mobily,Mar'18,AD DAMMAM,Eastern,Egyptian,Expat Arabs,Male,5,5,5
6233,Mobily - Postpaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,5,1,3
242,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Egyptian,Expat Arabs,Male,5,5,5
19213,STC - Postpaid,STC,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,2,1,1.5
4217,Mobily - Prepaid,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,5,5,5
6459,Mobily - Prepaid,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,4,3,3.5
7699,Mobily - Internet on Mobile,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,3,5,4
5653,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,2,2,2
20021,STC - Postpaid,STC,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,4,3,3.5
3090,Mobily - Prepaid,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,4,4,4
6049,Mobily - Postpaid,Mobily,Mar'18,BURAYDAH,Central,Saudis,Nationals,Male,1,4,2.5
1473,Mobily - Prepaid,Mobily,Mar'18,AL QATIF,Eastern,Saudis,Nationals,Female,5,4,4.5
819,Mobile - Data SIM,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,3,3,3
21506,STC - Internet on Mobile,STC,Mar'18,HAIL,Northern,Saudis,Nationals,Male,4,5,4.5
17479,STC - Postpaid,STC,Mar'18,AR RIYADH,Central,Syrian,Expat Arabs,Male,4,5,4.5
7613,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,4,1,2.5
21181,STC - Prepaid,STC,Mar'18,BURAYDAH,Central,Egyptian,Expat Arabs,Male,3,5,4
3109,Mobily - Postpaid,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Female,4,5,4.5
9235,Mobily - Postpaid,Mobily,Mar'18,MAKKAH AL MUKARRAMAH,Western,Saudis,Nationals,Male,4,3,3.5
5906,Mobile - Data SIM,Mobily,Mar'18,AT TAIF,Western,Saudis,Nationals,Female,5,5,5
7330,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,5,4,4.5
3197,Mobily - Prepaid,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Female,4,5,4.5
6095,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,3,4,3.5
2425,Mobily - Prepaid,Mobily,Mar'18,JEDDAH,Western,Yemeni,Expat Arabs,Male,5,5,5
6698,Mobily - Postpaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,3,5,4
1377,Mobily - Prepaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,5,5,5
5927,Mobily - Prepaid,Mobily,Mar'18,MAKKAH AL MUKARRAMAH,Western,Yemeni,Expat Arabs,Male,3,3,3
18598,STC - Prepaid,STC,Mar'18,JEDDAH,Western,Saudis,Nationals,Female,3,3,3
22019,STC - Prepaid,STC,Mar'18,AR RIYADH,Central,Sudani,Expat Arabs,Male,5,4,4.5
1908,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,4,5,4.5
19819,STC - Postpaid,STC,Mar'18,AR RIYADH,Central,Saudis,Nationals,Female,4,3,3.5
15411,STC - Internet on Mobile,STC,Mar'18,KHAMIS MUSHAYT,Southern,Yemeni,Expat Arabs,Male,5,5,5
6176,Mobily - Postpaid,Mobily,Mar'18,AT TAIF,Western,Saudis,Nationals,Male,3,3,3
5896,Mobily - Prepaid,Mobily,Mar'18,Other (specify):,Others,Sudani,Expat Arabs,Male,4,5,4.5
5876,Mobily - Prepaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,3,4,3.5
21561,STC - Postpaid,STC,Mar'18,BAYSH,Southern,Saudis,Nationals,Female,4,3,3.5
18435,STC - Postpaid,STC,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,5,3,4
275,Mobily - Prepaid,Mobily,Mar'18,AD DAMMAM,Eastern,Saudis,Nationals,Male,3,3,3
6814,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,3,3,3
4522,Mobily - Prepaid,Mobily,Mar'18,MAKKAH AL MUKARRAMAH,Western,Saudis,Nationals,Female,2,3,2.5
2099,Mobile - Data SIM,Mobily,Mar'18,AL KHUBAR,Eastern,Saudis,Nationals,Male,3,3,3
4006,Mobily - Prepaid,Mobily,Mar'18,Other (specify):,Others,Egyptian,Expat Arabs,Male,4,4,4
16660,STC - Internet on Mobile,STC,Mar'18,AD DAMMAM,Eastern,Indian,Expat Asians,Male,4,3,3.5
23192,Zain - Prepaid,Zain,Mar'18,Other (specify):,Others,Pakistani,Expat Asians,Male,3,2,2.5
4861,Mobily - Internet on Mobile,Mobily,Mar'18,AT TAIF,Western,Saudis,Nationals,Male,1,1,1
8285,Mobily - Postpaid,Mobily,Mar'18,JEDDAH,Western,Egyptian,Expat Arabs,Male,5,4,4.5
15783,STC - Data SIM,STC,Mar'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Female,4,3,3.5
899,Mobily - Prepaid,Mobily,Mar'18,JIZAN,Southern,Saudis,Nationals,Male,5,5,5
8677,Mobily - Internet on Mobile,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Female,5,5,5
6325,Mobily - Postpaid,Mobily,Mar'18,JEDDAH,Western,Yemeni,Expat Arabs,Male,4,4,4
6962,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,4,4,4
5853,Mobily - Prepaid,Mobily,Mar'18,UNAYZAH,Central,Saudis,Nationals,Female,4,1,2.5
9562,Mobily - Postpaid,Mobily,Mar'18,BURAYDAH,Central,Saudis,Nationals,Male,4,4,4
2995,Mobily - Prepaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,3,2,2.5
18461,STC - Prepaid,STC,Mar'18,SABYA,Southern,Saudis,Nationals,Female,3,2,2.5
1706,Mobily - Prepaid,Mobily,Mar'18,JEDDAH,Western,Yemeni,Expat Arabs,Female,3,1,2
16814,STC - Postpaid,STC,Mar'18,HAIL,Northern,Saudis,Nationals,Female,4,5,4.5
8383,Mobily - Postpaid,Mobily,Mar'18,AL KHUBAR,Eastern,Saudis,Nationals,Female,3,3,3
2877,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,4,5,4.5
1763,Mobily - Postpaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,5,4,4.5
2067,Mobily - Prepaid,Mobily,Mar'18,AT TAIF,Western,Saudis,Nationals,Male,2,1,1.5
15745,STC - Prepaid,STC,Mar'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,3,3,3
9749,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,5,5,5
4233,Mobily - Prepaid,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,4,1,2.5
1370,Mobily - Internet on Mobile,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Female,3,Don&apos;t know,3
605,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,3,1,2
7953,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,4,3,3.5
7585,Mobily - Postpaid,Mobily,Mar'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,4,3,3.5
21437,STC - Data SIM,STC,Mar'18,KHAMIS MUSHAYT,Southern,Saudis,Nationals,Male,4,4,4
21099,STC - Prepaid,STC,Mar'18,HAIL,Northern,Egyptian,Expat Arabs,Male,5,5,5
7081,Mobily - Internet on Mobile,Mobily,Mar'18,AR RIYADH,Central,Lebanese,Expat Arabs,Male,2,Don&apos;t know,2
3524,Mobily - Prepaid,Mobily,Mar'18,AL QATIF,Eastern,Saudis,Nationals,Female,2,4,3
7195,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Yemeni,Expat Arabs,Male,4,2,3
8961,Mobily - Postpaid,Mobily,Mar'18,Other (specify):,Others,Egyptian,Expat Arabs,Male,4,3,3.5
22512,STC - Postpaid,STC,Mar'18,AD DAMMAM,Eastern,Sudani,Expat Arabs,Male,2,3,2.5
17587,STC - Prepaid,STC,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,4,5,4.5
4048,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,5,5,5
8629,Mobily - Postpaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,3,2,2.5
6617,Mobily - Postpaid,Mobily,Mar'18,HAIL,Northern,Saudis,Nationals,Male,1,2,1.5
5066,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Palestinian,Expat Arabs,Male,5,5,5
14636,Friendi - Prepaid,Friendi,Mar'18,AR RIYADH,Central,Indian,Expat Asians,Male,5,5,5
17459,STC - Prepaid,STC,Mar'18,Other (specify):,Others,Sudani,Expat Arabs,Male,5,5,5
20875,STC - Prepaid,STC,Mar'18,JEDDAH,Western,Sudani,Expat Arabs,Male,3,4,3.5
3694,Mobily - Prepaid,Mobily,Mar'18,AL KHUBAR,Eastern,Saudis,Nationals,Male,3,1,2
3597,Mobily - Prepaid,Mobily,Mar'18,MAKKAH AL MUKARRAMAH,Western,Egyptian,Expat Arabs,Male,4,4,4
6296,Mobily - Internet on Mobile,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Female,1,1,1
6042,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,5,5,5
596,Mobily - Internet on Mobile,Mobily,Mar'18,MAKKAH AL MUKARRAMAH,Western,Saudis,Nationals,Male,3,4,3.5
21317,STC - Prepaid,STC,Mar'18,JEDDAH,Western,Yemeni,Expat Arabs,Male,5,5,5
7129,Mobily - Postpaid,Mobily,Mar'18,AL JUBAIL,Eastern,Saudis,Nationals,Male,3,2,2.5
5287,Mobily - Prepaid,Mobily,Mar'18,AD DAMMAM,Eastern,Saudis,Nationals,Male,5,4,4.5
12101,Friendi - Prepaid,Friendi,Mar'18,AD DAMMAM,Eastern,Bangladeshi,Expat Asians,Male,4,5,4.5
17594,STC - Data SIM,STC,Mar'18,AT TAIF,Western,Saudis,Nationals,Male,1,1,1
3513,Mobily - Prepaid,Mobily,Mar'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Female,4,3,3.5
1894,Mobily - Prepaid,Mobily,Mar'18,JEDDAH,Western,Yemeni,Expat Arabs,Male,3,5,4
7339,Mobily - Postpaid,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,5,3,4
4008,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,1,2,1.5
9438,Mobily - Postpaid,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Female,2,2,2
19399,STC - Postpaid,STC,Mar'18,UNAYZAH,Central,Saudis,Nationals,Male,5,5,5
7180,Mobile - Data SIM,Mobily,Mar'18,SAFWA,Eastern,Saudis,Nationals,Male,4,1,2.5
5724,Mobily - Prepaid,Mobily,Mar'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,3,2,2.5
8206,Mobily - Internet on Mobile,Mobily,Mar'18,AR RIYADH,Central,Egyptian,Expat Arabs,Male,3,4,3.5
19797,STC - Prepaid,STC,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,3,2,2.5
2408,Mobily - Postpaid,Mobily,Mar'18,MAKKAH AL MUKARRAMAH,Western,Saudis,Nationals,Male,3,3,3
21731,STC - Internet on Mobile,STC,Mar'18,Other (specify):,Others,Pakistani,Expat Asians,Male,5,4,4.5
9137,Mobily - Internet on Mobile,Mobily,Mar'18,BURAYDAH,Central,Saudis,Nationals,Male,3,2,2.5
1935,Mobily - Prepaid,Mobily,Mar'18,BURAYDAH,Central,Egyptian,Expat Arabs,Male,5,5,5
5867,Mobily - Prepaid,Mobily,Mar'18,AL HUFUF,Eastern,Saudis,Nationals,Male,4,5,4.5
8933,Mobily - Postpaid,Mobily,Mar'18,UNAYZAH,Central,Saudis,Nationals,Female,4,4,4
9017,Mobily - Postpaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,5,5,5
5483,Mobile - Data SIM,Mobily,Mar'18,SAKAKA,Northern,Saudis,Nationals,Female,5,3,4
5346,Mobily - Internet on Mobile,Mobily,Mar'18,AT TAIF,Western,Saudis,Nationals,Male,3,4,3.5
9162,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Female,5,5,5
8092,Mobily - Postpaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Female,3,1,2
8934,Mobily - Postpaid,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,5,4,4.5
8471,Mobily - Postpaid,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,4,2,3
3517,Mobily - Prepaid,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,4,4,4
21835,STC - Postpaid,STC,Mar'18,AR RIYADH,Central,Sudani,Expat Arabs,Male,5,3,4
3475,Mobily - Prepaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,5,5,5
21356,STC - Prepaid,STC,Mar'18,AR RIYADH,Central,Sudani,Expat Arabs,Male,5,5,5
8555,Mobily - Postpaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,3,3,3
9748,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,4,4,4
21544,STC - Internet on Mobile,STC,Mar'18,Other (specify):,Others,Yemeni,Expat Arabs,Male,5,3,4
5986,Mobily - Prepaid,Mobily,Mar'18,YANBU AL BAHAR,Northern,Saudis,Nationals,Male,5,3,4
944,Mobily - Prepaid,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,4,2,3
2852,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,3,3,3
5878,Mobily - Prepaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,2,3,2.5
1511,Mobily - Postpaid,Mobily,Mar'18,MAKKAH AL MUKARRAMAH,Western,Egyptian,Expat Arabs,Male,4,3,3.5
4530,Mobily - Prepaid,Mobily,Mar'18,BURAYDAH,Central,Saudis,Nationals,Male,1,1,1
5080,Mobily - Prepaid,Mobily,Mar'18,TABUK,Northern,Saudis,Nationals,Male,5,5,5
872,Mobily - Prepaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Female,5,4,4.5
16012,STC - Prepaid,STC,Mar'18,KHAMIS MUSHAYT,Southern,Saudis,Nationals,Female,3,3,3
984,Mobily - Prepaid,Mobily,Mar'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,5,4,4.5
7382,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Egyptian,Expat Arabs,Male,3,5,4
1640,Mobily - Internet on Mobile,Mobily,Mar'18,AD DAMMAM,Eastern,Saudis,Nationals,Male,4,3,3.5
379,Mobily - Internet on Mobile,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Female,5,5,5
4366,Mobily - Prepaid,Mobily,Mar'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,1,1,1
8536,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,4,4,4
2828,Mobily - Internet on Mobile,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,3,3,3
9933,Mobily - Postpaid,Mobily,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,3,5,4
19990,STC - Prepaid,STC,Mar'18,Other (specify):,Others,Egyptian,Expat Arabs,Male,4,4,4
5970,Mobily - Prepaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,5,4,4.5
4817,Mobily - Internet on Mobile,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Female,4,3,3.5
15536,STC - Prepaid,STC,Mar'18,JEDDAH,Western,Yemeni,Expat Arabs,Male,2,3,2.5
6193,Mobily - Postpaid,Mobily,Mar'18,AD DAMMAM,Eastern,Saudis,Nationals,Male,3,2,2.5
12745,Friendi - Internet on Mobile,Friendi,Mar'18,JEDDAH,Western,Yemeni,Expat Arabs,Male,3,2,2.5
22411,STC - Postpaid,STC,Mar'18,HAIL,Northern,Egyptian,Expat Arabs,Male,3,3,3
5455,Mobily - Postpaid,Mobily,Mar'18,YANBU AL BAHAR,Northern,Saudis,Nationals,Male,4,1,2.5
100,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Egyptian,Expat Arabs,Male,5,4,4.5
2864,Mobily - Prepaid,Mobily,Mar'18,AD DAMMAM,Eastern,Saudis,Nationals,Male,4,3,3.5
6901,Mobily - Postpaid,Mobily,Mar'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,5,1,3
969,Mobily - Postpaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,3,2,2.5
2714,Mobily - Prepaid,Mobily,Mar'18,MAKKAH AL MUKARRAMAH,Western,Saudis,Nationals,Male,3,3,3
2149,Mobily - Prepaid,Mobily,Mar'18,AL HUFUF,Eastern,Saudis,Nationals,Male,3,3,3
19008,STC - Postpaid,STC,Mar'18,JEDDAH,Western,Saudis,Nationals,Male,4,5,4.5
20654,STC - Postpaid,STC,Mar'18,SABYA,Southern,Saudis,Nationals,Female,5,5,5
9604,Mobily - Postpaid,Mobily,Mar'18,MAKKAH AL MUKARRAMAH,Western,Saudis,Nationals,Female,3,3,3
20751,STC - Postpaid,STC,Mar'18,AR RIYADH,Central,Sudani,Expat Arabs,Male,4,5,4.5
6930,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,3,2,2.5
16601,STC - Prepaid,STC,Mar'18,Other (specify):,Others,Indian,Expat Asians,Male,5,4,4.5
3267,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Egyptian,Expat Arabs,Male,5,5,5
4959,Mobile - Data SIM,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,4,3,3.5
3954,Mobily - Prepaid,Mobily,Mar'18,AL QATIF,Eastern,Saudis,Nationals,Male,4,3,3.5
3478,Mobily - Prepaid,Mobily,Mar'18,MAKKAH AL MUKARRAMAH,Western,Saudis,Nationals,Female,4,2,3
196,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Female,4,3,3.5
12075,Lebara - Prepaid,Lebara,Mar'18,MAKKAH AL MUKARRAMAH,Western,Saudis,Nationals,Female,5,5,5
14908,Lebara - Prepaid,Lebara,Mar'18,UNAYZAH,Central,Egyptian,Expat Arabs,Male,3,3,3
16457,STC - Prepaid,STC,Mar'18,Other (specify):,Others,Jordanian,Expat Arabs,Female,5,5,5
4805,Mobily - Prepaid,Mobily,Mar'18,JEDDAH,Western,Sudani,Expat Arabs,Female,5,4,4.5
2510,Mobily - Prepaid,Mobily,Mar'18,TABUK,Northern,Saudis,Nationals,Male,4,5,4.5
95,Mobily - Prepaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,3,1,2
24073,Zain - Prepaid,Zain,Mar'18,AD DAMMAM,Eastern,Indian,Expat Asians,Male,5,5,5
6155,Mobily - Postpaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,3,3,3
429,Mobily - Postpaid,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,2,2,2
6911,Mobily - Internet on Mobile,Mobily,Mar'18,AR RIYADH,Central,Saudis,Nationals,Male,2,3,2.5
4082,Mobily - Postpaid,Mobily,Mar'18,AL HUFUF,Eastern,Saudis,Nationals,Female,5,4,4.5
3160,Mobily - Prepaid,Mobily,Mar'18,Other (specify):,Others,Saudis,Nationals,Male,3,2,2.5
4322,Mobily - Prepaid,Mobily,Mar'18,MAKKAH AL MUKARRAMAH,Western,Saudis,Nationals,Male,5,5,5
14015,Lebara - Prepaid,Lebara,Mar'18,Other (specify):,Others,Bangladeshi,Expat Asians,Male,5,2,3.5
